country,year,male_bmi,male_bp,male_expectancy,female_bmi,female_bp,female_expectancy
Botswana,1994,20.6,132.8159,52.8,24.8,132.2077,59.5
Canada,1994,26.5,129.0447,74.9,25.5,122.9185,80.9
Switzerland,1994,25.6,132.6743,75.1,24,125.191,81.7
Chile,1994,25.6,131.7604,71.5,25.8,127.7303,77.7
China,1994,22.1,124.4556,67.4,22.3,122.8275,71.7
Cote d'Ivoire,1994,21.7,132.4827,49.7,22.3,130.4668,54.1
Cameroon,1994,22.6,128.747,52,23,125.3278,55.1
"Congo, Dem. Rep.",1994,20.5,130.7766,48.2,20.6,128.9809,51.6
"Congo, Rep.",1994,21.2,134.3803,53.1,21.4,132.366,54.4
Colombia,1994,23.5,126.8552,65.5,25.2,124.2784,74
Comoros,1994,21.6,131.1341,56.6,21.8,129.2061,58.9
Cape Verde,1994,21.8,134.1495,63,22.7,131.9305,67.1
Costa Rica,1994,25,127.5151,74.6,25.2,122.9734,78.9
Cuba,1994,23.7,128.3121,72.2,25.1,125.6814,76.9
Cyprus,1994,26.3,132.6083,72.9,25.1,127.38720000000001,76.5
Germany,1994,26.3,137.72,72.9,25.3,131.6122,79.5
Djibouti,1994,22.3,131.4367,53.7,23.1,129.3052,57.4
Dominica,1994,23.5,131.7572,68.6,27,130.1641,73.5
Denmark,1994,24.9,132.4202,72.8,24.3,125.1774,78.1
Algeria,1994,23.3,129.4411,65.6,25,130.7601,69.2
Ecuador,1994,24.6,128.8737,67.7,25.9,125.3528,74
Egypt,1994,25.5,124.7299,63.9,27.8,125.1646,67.7
Eritrea,1994,20.4,124.6427,52.7,19.8,121.8593,55.5
Spain,1994,26,130.7987,74.5,25.7,126.3998,81.7
Estonia,1994,24.8,138.1738,61.9,24.8,131.5484,74.2
Ethiopia,1994,19.7,125.2467,46.7,19.5,121.4216,49.1
Finland,1994,25.9,136.668,72.8,25.3,132.4177,80.1
Fiji,1994,24.3,128.1269,63.9,26.3,126.0015,68.7
France,1994,25.1,133.9824,73.6,24.5,126.5782,81.9
"Micronesia, Fed. Sts.",1994,26.4,130.0742,65,28.7,123.1342,71.5
Gabon,1994,23.1,136.7679,59.6,23.6,134.9725,61.8
United Kingdom,1994,26,136.5864,74,25.6,131.376,79.3
Georgia,1994,24.7,136.8331,64.2,25.6,132.5144,72.7
Ghana,1994,21.6,128.7102,55.1,22.3,128.4257,57.1
Guinea,1994,21.6,129.8136,48.4,21.3,130.3342,49.9
Gambia,1994,20.5,131.3755,52.7,22.2,128.6811,56.8
Guinea-Bissau,1994,21.2,129.1691,46.2,21.8,128.882,50.1
Equatorial Guinea,1994,21.4,133.0485,49.9,21.4,130.7784,53
Greece,1994,25.4,129.4909,75.1,24.5,126.8746,80.6
Grenada,1994,24.1,128.8602,69.1,25.7,124.9877,74.3
Greenland,1994,25.1,133.9323,64.2,26.3,130.1637,67.3
Guatemala,1994,24.1,124.2092,60.5,24.7,120.8977,67.2
Guyana,1994,22.9,125.7372,60.4,24.7,122.7782,66.6
"Hong Kong, China",1994,23.5,127.8371,75.9,22.9,123.8492,81.8
Honduras,1994,24,125.8502,64.5,24.9,122.4033,68.8
Croatia,1994,25.6,136.5882,69.8,24.6,132.8215,77.6
Haiti,1994,23,126.6572,53.4,21.8,123.8287,55.9
Hungary,1994,26.1,137.6068,65,25.4,131.5598,74.5
Indonesia,1994,20.7,126.749,63.4,21.5,125.6466,66.4
India,1994,20.6,124.8192,59.5,20.7,124.4644,61
Ireland,1994,26.4,135.7402,73.1,25.5,127.9257,78.7
Iran,1994,24.3,126.2426,65.3,24.8,125.8922,69.8
Iraq,1994,25.8,126.1938,63.8,27.1,127.0522,69.5
Iceland,1994,25.8,130.8023,76.9,25,123.8033,81.4
Israel,1994,25.6,128.6967,75.6,25.9,126.8763,79.6
Italy,1994,25.7,134.2824,74.6,24.8,129.1035,81.1
Jamaica,1994,22.9,128.6305,70.5,25.8,125.4572,73
Jordan,1994,26.2,124.5677,69.3,28.8,125.0929,72.3
Japan,1994,22.6,132.0704,76.6,21.8,126.7512,82.9
Kazakhstan,1994,25,134.1653,58.7,25.8,130.9747,69.4
Kenya,1994,20.9,128.1186,54.3,22,125.7388,58.2
Cambodia,1994,20,120.6985,53.9,20.4,116.2888,58
Kiribati,1994,26.9,125.6125,61,28.1,119.7065,64.3
Kuwait,1994,27,129.7883,74.2,29.2,129.2183,78
Lebanon,1994,25.5,127.948,70.1,25.8,130.5101,73.1
Liberia,1994,21.4,129.946,39.1,22.1,129.3728,44.7
Libya,1994,25.5,132.2174,68.7,27.8,133.3278,73.1
Sri Lanka,1994,21,125.929,68.9,22.1,123.0571,77.7
Lesotho,1994,20.8,128.7159,54.1,25.8,127.9774,62.3
Lithuania,1994,25.9,137.1993,62.8,25.9,133.0005,75.3
Luxembourg,1994,26.1,134.8533,73.3,25.2,128.6648,79.4
Latvia,1994,25.3,136.1137,59.7,25.2,131.5861,73.3
"Macao, China",1994,24.2,129.0569,76.4,24.4,126.6569,81.4
Morocco,1994,24.4,126.1451,62.8,24.9,127.1843,66
Moldova,1994,24.4,132.9546,61.3,26.8,130.8456,68.7
Madagascar,1994,21,130.3839,53,20.5,129.0566,56
Maldives,1994,21.7,125.5212,65.8,24.3,122.6228,67.4
Mexico,1994,26,125.9282,67.8,26.9,124.3575,75
Marshall Islands,1994,27.1,126.4172,60.5,28.6,121.8078,65.1
Mali,1994,20.7,125.8687,47.2,20.7,125.9118,48.3
Malta,1994,26.5,133.0753,74.7,26.4,130.078,78.4
Myanmar,1994,20.1,121.2159,55.3,20.7,119.437,60.8
Montenegro,1994,25.7,135.3725,70.2,25.4,131.6146,76.5
Mongolia,1994,23.8,134.6573,57.7,24.9,129.0212,63.2
Mozambique,1994,20.8,132.9022,44,21.5,131.1064,47.1
Mauritania,1994,21.5,130.2629,58.9,24.4,128.1954,61.7
Mauritius,1994,23.6,133.0257,66.9,24.7,131.0035,74.1
Malawi,1994,21,130.05,41.3,21.4,127.9663,45.9
Malaysia,1994,23.1,125.9867,70,23.9,124.7199,74.4
Namibia,1994,21.3,134.4894,57.2,23.5,132.2327,62.4
Niger,1994,20.7,134.7562,44.1,20.8,129.9933,45.2
Nigeria,1994,21.7,129.5136,44.1,22.7,132.8816,47
Nicaragua,1994,24.7,127.063,62.1,25.7,123.3639,68.3
Netherlands,1994,24.8,133.1808,74.6,24.6,126.9995,80.3
Norway,1994,25.5,136.4144,74.9,24.7,130.7506,80.6
Nepal,1994,20.6,124.0528,57.9,19.5,123.3184,59.2
Nauru,1994,31.2,133.2677,58.6,31.9,129.4418,65.9
New Zealand,1994,26.2,130.3754,74.1,25.8,123.8141,79.6
Oman,1994,24.6,129.8892,69.5,26,130.0577,74.3
Pakistan,1994,21.8,124.2248,59.7,22.6,125.3622,60.6
Panama,1994,24.7,128.6932,69,25.7,124.0916,75.4
Peru,1994,23.6,125.9284,64.8,25.5,122.2255,69.8
Philippines,1994,22,124.9286,66.2,22.4,122.4121,69.7
Palau,1994,27.7,130.5267,58.9,28.8,125.9963,68.5
Papua New Guinea,1994,23.6,120.4949,58.9,23.5,115.5443,63.2
Poland,1994,25.5,134.4277,67.4,25.6,131.4504,76.1
Puerto Rico,1994,26.2,129.5627,69.6,27.9,125.1131,78.9
Portugal,1994,25.6,135.4989,72.1,25.5,131.839,79.3
Paraguay,1994,24.4,130.2919,66.7,24.6,125.3639,71.1
French Polynesia,1994,28.2,132.4246,73.6,29.2,126.0366,77.2
Qatar,1994,26.2,131.4944,73.7,27.5,131.4205,75.4
Romania,1994,24.6,134.1254,65.8,25,131.0059,73.5
Russia,1994,25,132.2557,57.2,26.5,130.3632,71.4
Rwanda,1994,21.7,131.873,13.1,21.1,130.9456,15.7
Saudi Arabia,1994,26.3,128.8842,69.4,27.8,129.3783,72.7
Sudan,1994,21.2,129.5209,54.4,21.7,126.6804,59.1
Senegal,1994,21,130.2623,55.2,22.7,128.6772,58.8
Singapore,1994,23.5,128.8299,73.3,23.5,126.0028,78.6
Solomon Islands,1994,25.6,124.5343,63.9,26.4,120.9343,69.1
Sierra Leone,1994,21.8,132.3975,41.6,22.4,132.7079,44.3
El Salvador,1994,24.8,124.3279,60.8,25.5,120.5975,70.9
Somalia,1994,21.4,130.2466,48.9,21.7,128.7227,51.8
Serbia,1994,25.9,138.0558,68.2,25.7,133.1799,74.5
Sao Tome and Principe,1994,22,133.5682,58.9,23,132.5103,63.4
Suriname,1994,24.1,127.6325,62.4,25.9,125.2799,68.3
Slovak Republic,1994,26.1,136.3229,68.3,26.1,132.2343,76.5
Slovenia,1994,26.2,137.2435,70.1,26.1,132.699,77.8
Sweden,1994,25.4,133.4664,76.1,24.8,128.153,81.4
Seychelles,1994,23.8,135.959,63.7,26.3,130.8405,76.4
Syria,1994,25.5,127.5631,68.4,27.2,127.9735,72.1
Chad,1994,20.6,129.2325,45.4,20.3,125.5962,47.5
Togo,1994,21.1,130.509,52.7,21.3,128.5938,55.3
Thailand,1994,21.9,122.7807,67.1,23.1,119.9501,75.6
Tajikistan,1994,24,131.8617,53.1,24,129.229,62.4
Turkmenistan,1994,24.5,132.6255,60.2,24.1,129.9246,67.3
Timor-Leste,1994,20.3,122.8943,46.8,20.7,119.7409,49.9
Tonga,1994,28.8,128.2954,64.6,30.9,123.1433,72.1
Trinidad and Tobago,1994,25.1,128.3708,65.8,26.8,124.1687,71.3
Tunisia,1994,23.5,128.4266,69.3,26.2,130.3158,74.1
Turkey,1994,25,125.8563,65.8,27.4,127.9493,73.1
Taiwan,1994,23.5,126.331,72.2,22.9,120.5333,78
Tanzania,1994,21.6,127.0737,48.9,21.9,126.5699,52.8
Uganda,1994,21.6,131.1812,44.1,21.3,130.4025,48.6
Ukraine,1994,25,136.2554,62.1,26.1,133.0742,72.8
Uruguay,1994,25.3,131.5724,69.6,24.8,126.045,78
United States,1994,27.1,125.9434,72.4,26.8,121.1598,79.1
Uzbekistan,1994,24.7,127.2032,61.8,24.6,124.4965,67.6
Venezuela,1994,26,132.6888,69.1,26.3,127.354,74.7
British Virgin Islands,1994,25,132.0182,72.4,26.8,127.9685,75.2
Vietnam,1994,19.6,123.5599,66,19.7,119.9687,75.6
Vanuatu,1994,25.1,132.4954,65.4,25.6,128.5109,70.7
Samoa,1994,27.9,129.9258,66.2,30.2,122.9505,72.3
South Africa,1994,23.8,132.4049,58.8,27.7,131.2061,66.2
Zambia,1994,20.1,129.4924,44.5,22,128.174,47.1
Zimbabwe,1994,21.6,130.0553,50,24.7,130.6095,55.3
Afghanistan,1995,20.9,124.3947,51,20.6,123.6216,54.1
Angola,1995,21.2,132.7094,43.9,21.3,129.8544,47.8
Albania,1995,25.3,131.8613,71.4,24.9,129.3526,77.5
Andorra,1995,26.4,134.094,76.7,25.9,128.3204,81.9
United Arab Emirates,1995,26.5,129.2884,71.2,28.3,126.3157,75.6
Argentina,1995,26.4,126.6326,70,25.7,120.7064,76.2
Armenia,1995,24,134.0863,65.4,25.9,133.1795,73
Antigua and Barbuda,1995,24.7,131.2341,71,26.2,125.5536,76.2
Australia,1995,26.3,132.0468,75.4,25.5,123.7458,81.1
Austria,1995,25.6,133.9837,73.3,24.5,128.6419,80
Azerbaijan,1995,24.6,132.2496,58,26.4,129.6396,66.5
Burundi,1995,21.3,130.9855,42.3,20.4,130.3469,45.9
Belgium,1995,25.8,132.6508,73.4,25.1,127.9063,80.2
Benin,1995,21.5,130.6942,53.4,22.4,128.8484,57.1
Burkina Faso,1995,20.5,128.3595,48.2,20.6,127.7942,50.6
Bangladesh,1995,20.1,124.5709,59.9,19,123.618,59
Bulgaria,1995,25.8,134.6791,67.4,25.4,131.2165,74.9
Bahrain,1995,25.9,131.2266,72.8,26.9,134.9873,75.1
Bahamas,1995,25.7,132.2146,67.5,27.6,127.3238,74
Bosnia and Herzegovina,1995,25.1,131.1335,66.3,25.2,132.6593,74.3
Belarus,1995,25.1,135.6302,62.9,26,131.0246,75
Belize,1995,25.6,126.0969,68,27.8,120.8861,72
Bermuda,1995,26.9,133.4321,72.6,29.3,129.4566,79.6
Bolivia,1995,23.6,127.0574,57.8,25.1,123.5924,61.3
Brazil,1995,24.1,131.565,64.9,24.9,128.432,71.1
Barbados,1995,25.2,129.8841,70.5,27.8,126.8847,75.9
Brunei,1995,23.6,130.8539,70.9,22.9,126.1055,75.2
Bhutan,1995,21.9,125.0881,58.3,21.4,124.1264,61
Botswana,1995,20.7,132.7238,51.9,24.9,132.1643,58.2
Canada,1995,26.6,128.7658,75,25.6,122.6924,81
Switzerland,1995,25.6,132.3727,75.3,24,124.7346,81.7
Chile,1995,25.7,131.7467,71.4,26,127.5792,77.8
China,1995,22.2,124.4757,67.8,22.3,122.8098,72.3
Cote d'Ivoire,1995,21.8,132.373,49.5,22.4,130.4654,54
Cameroon,1995,22.6,128.5558,51.6,23,125.2773,54.9
"Congo, Dem. Rep.",1995,20.4,130.571,48.5,20.6,128.7655,52.3
"Congo, Rep.",1995,21.2,134.2111,53,21.5,132.2375,54.2
Colombia,1995,23.6,126.6731,65.9,25.3,124.0942,74.2
Comoros,1995,21.6,131.1587,56.8,21.8,129.3234,59.4
Cape Verde,1995,21.9,134.2126,61.6,22.9,132.0125,66.1
Costa Rica,1995,25.1,127.2992,74.3,25.4,122.7509,79
Cuba,1995,23.7,128.1525,72.4,25.1,125.522,77.1
Cyprus,1995,26.4,132.4441,73.1,25.2,127.1035,77.2
Germany,1995,26.3,137.5581,73.1,25.4,131.2764,79.7
Djibouti,1995,22.3,131.3019,54.5,23.2,129.2046,58.1
Dominica,1995,23.6,131.7398,68.7,27.1,130.033,74.4
Denmark,1995,25,132.2864,72.7,24.4,124.8122,77.8
Algeria,1995,23.4,129.2861,65.5,25.1,130.6985,69.5
Ecuador,1995,24.6,128.7285,67.9,26,125.1429,74.2
Egypt,1995,25.6,124.7186,64.3,27.9,125.2091,68.3
Eritrea,1995,20.4,124.913,53.6,19.9,122.1954,56.2
Spain,1995,26.1,130.6712,74.6,25.8,125.9696,81.8
Estonia,1995,24.8,137.8637,62.7,24.7,131.1877,74.9
Ethiopia,1995,19.7,125.4184,47.2,19.6,121.7438,49.4
Finland,1995,25.9,136.2881,72.8,25.3,131.9184,80.2
Fiji,1995,24.4,128.2247,64.1,26.5,126.1456,68.8
France,1995,25.2,133.7924,73.8,24.5,126.1979,81.9
"Micronesia, Fed. Sts.",1995,26.5,130.238,65.5,28.9,123.3027,72
Gabon,1995,23.1,136.4391,59.6,23.7,134.6402,61.8
United Kingdom,1995,26.1,136.4298,73.9,25.8,131.1159,79.2
Georgia,1995,24.6,136.309,64.2,25.5,132.1148,73.2
Ghana,1995,21.6,128.6967,55.6,22.4,128.5944,57.6
Guinea,1995,21.6,129.7893,49.1,21.4,130.4474,50.6
Gambia,1995,20.6,131.3898,53.4,22.3,128.7875,57.7
Guinea-Bissau,1995,21.3,129.1814,47,21.9,129.0055,51
Equatorial Guinea,1995,21.4,133.0138,50,21.5,130.8201,53.2
Greece,1995,25.4,129.3353,75.1,24.5,126.5229,80.6
Grenada,1995,24.1,128.8084,69.4,25.8,124.9909,74.8
Greenland,1995,25.2,133.6129,64.4,26.3,129.7176,67.2
Guatemala,1995,24.2,124.1172,60.9,24.9,120.7699,67.8
Guyana,1995,23,125.8742,60.1,24.8,122.9095,66.5
"Hong Kong, China",1995,23.7,127.4764,76.3,23.1,123.3407,82.2
Honduras,1995,24.1,125.755,65.1,25,122.3277,69.4
Croatia,1995,25.6,136.3365,69,24.6,132.5878,77.3
Haiti,1995,23,126.5961,54.1,21.9,123.8199,56.9
Hungary,1995,26.1,137.3179,65.4,25.4,131.283,74.7
Indonesia,1995,20.8,126.898,63.7,21.6,125.8647,66.8
India,1995,20.6,124.8644,59.9,20.7,124.5309,61.4
Ireland,1995,26.4,135.7271,72.8,25.5,127.7329,78.3
Iran,1995,24.4,126.1521,65.7,24.9,125.8417,70
Iraq,1995,25.8,125.924,63.7,27.1,126.783,69.2
Iceland,1995,25.8,130.549,76.2,25.1,123.4171,80.2
Israel,1995,25.7,128.4836,75.6,26,126.5488,79.6
Italy,1995,25.7,133.9738,74.8,24.8,128.6571,81.3
Jamaica,1995,23,128.5287,70.2,25.9,125.3714,72.8
Jordan,1995,26.3,124.4147,69.4,28.9,124.9085,72.4
Japan,1995,22.7,131.8752,76.4,21.8,126.4172,82.8
Kazakhstan,1995,25,133.7345,58.4,25.7,130.6278,69.3
Kenya,1995,21,128.1702,53.8,22.1,125.9797,57.4
Cambodia,1995,20,120.8795,54.2,20.5,116.5328,58.2
Kiribati,1995,27.1,125.761,61.3,28.3,119.8438,64.6
Kuwait,1995,27.2,129.631,73.9,29.4,128.882,77.8
Lebanon,1995,25.7,127.8382,70.8,26,130.423,73.2
Liberia,1995,21.4,129.843,41.5,22.1,129.3989,46.4
Libya,1995,25.6,131.9379,69.3,27.9,133.0978,73.2
Sri Lanka,1995,21.1,126.0925,67.8,22.1,123.2274,77.6
Lesotho,1995,20.8,128.7486,52.9,25.9,128.1337,60.9
Lithuania,1995,25.8,136.8685,63.4,25.8,132.5618,75.4
Luxembourg,1995,26.2,134.5522,73.2,25.3,128.3029,80.1
Latvia,1995,25.3,135.9057,60.6,25.1,131.1424,73.7
"Macao, China",1995,24.3,128.8058,76.7,24.5,126.2187,81.8
Morocco,1995,24.5,126.0744,63.2,25,127.0517,66.4
Moldova,1995,24.3,132.571,61.2,26.7,130.5046,69
Madagascar,1995,21,130.4702,53.4,20.5,129.2305,56.6
Maldives,1995,21.8,125.6259,66.7,24.4,122.7316,68.4
Mexico,1995,26.1,125.728,68.2,27,124.0902,75.3
Marshall Islands,1995,27.3,126.4364,60.8,28.8,121.7567,65.2
Mali,1995,20.8,125.8735,47.5,20.8,126.0726,48.2
Malta,1995,26.6,132.9887,74.8,26.4,129.7395,79.3
Myanmar,1995,20.1,121.4651,55.6,20.8,119.7266,61.1
Montenegro,1995,25.6,135.0495,70.2,25.4,131.2354,78.2
Mongolia,1995,23.8,134.5679,58.1,24.9,128.8421,63.2
Mozambique,1995,20.8,132.9811,44.5,21.6,131.3091,47.6
Mauritania,1995,21.6,130.2016,58.8,24.5,128.382,61.7
Mauritius,1995,23.7,132.964,67,24.9,130.9941,74.4
Malawi,1995,21.1,130.1951,41.3,21.5,128.2626,46
Malaysia,1995,23.2,126.0895,70.2,24,124.7346,74.7
Namibia,1995,21.4,134.3342,56,23.6,132.1829,61.1
Niger,1995,20.7,134.6798,45.3,20.9,130.1742,46.2
Nigeria,1995,21.8,129.4488,44,22.8,133.0701,47.1
Nicaragua,1995,24.8,126.8891,62.6,25.9,123.2178,68.6
Netherlands,1995,24.9,132.9726,74.6,24.6,126.6581,80.4
Norway,1995,25.6,136.2028,74.8,24.7,130.4129,80.8
Nepal,1995,20.6,124.1137,58.6,19.6,123.5629,60.1
Nauru,1995,31.4,133.1369,58.4,32.1,129.1523,65.8
New Zealand,1995,26.3,130.1265,74.1,25.9,123.4992,79.5
Oman,1995,24.8,129.7321,70.1,26.1,129.867,74.9
Pakistan,1995,21.8,124.3002,59.5,22.7,125.5049,60.4
Panama,1995,24.8,128.5408,69.3,25.8,123.9417,75.7
Peru,1995,23.7,125.7791,65.2,25.6,122.0116,70.3
Philippines,1995,22.1,124.9791,66.6,22.4,122.4238,69.9
Palau,1995,27.9,130.5539,59.4,29.1,125.9282,68.4
Papua New Guinea,1995,23.7,120.7492,59.2,23.7,115.9366,63.4
Poland,1995,25.5,134.1268,67.6,25.6,131.1761,76.4
Puerto Rico,1995,26.3,129.4298,70,28.1,124.8799,79
Portugal,1995,25.7,135.4716,71.9,25.6,131.567,79.2
Paraguay,1995,24.4,130.115,66.8,24.7,125.0958,71.4
French Polynesia,1995,28.4,132.4416,74.2,29.4,125.8447,78
Qatar,1995,26.3,131.2076,73.6,27.6,131.0072,75.4
Romania,1995,24.6,133.845,65.7,25,130.7064,73.6
Russia,1995,25,131.8975,57.4,26.4,129.8954,71.6
Rwanda,1995,21.7,131.8863,38.1,21.1,131.0943,41.8
Saudi Arabia,1995,26.4,128.5697,69.8,27.9,129.0338,72.8
Sudan,1995,21.2,129.5944,48.4,21.8,126.8557,56.2
Senegal,1995,21,130.1995,55.1,22.8,128.7322,58.6
Singapore,1995,23.5,128.796,73.4,23.4,125.7698,78.6
Solomon Islands,1995,25.8,124.6521,64.1,26.6,121.2105,69.2
Sierra Leone,1995,21.9,132.3405,41.2,22.5,132.8102,44.3
El Salvador,1995,24.9,124.2358,61.4,25.7,120.4773,71.3
Somalia,1995,21.4,130.2392,49.1,21.7,128.8215,52.1
Serbia,1995,25.9,137.6972,68.7,25.6,132.7594,74.9
Sao Tome and Principe,1995,22.1,133.48,58.9,23.1,132.621,63.3
Suriname,1995,24.1,127.48,62.4,26,125.1548,68.4
Slovak Republic,1995,26.1,136.1079,68.3,26,131.9139,76.3
Slovenia,1995,26.3,137.0623,70.6,26.1,132.377,78.4
Sweden,1995,25.4,133.3366,76.2,24.8,127.8053,81.4
Seychelles,1995,23.9,135.9298,63.6,26.4,130.7216,75.2
Syria,1995,25.6,127.5432,68.6,27.3,127.9128,72.4
Chad,1995,20.7,129.2349,45.7,20.4,125.7462,47.7
Togo,1995,21.2,130.4453,52.7,21.4,128.7291,55.3
Thailand,1995,22,122.9892,66.5,23.3,120.1133,75.7
Tajikistan,1995,23.8,131.4412,56.1,23.8,128.9869,62.8
Turkmenistan,1995,24.5,132.2772,60,24.1,129.6833,67.4
Timor-Leste,1995,20.4,123.173,46.5,20.8,120.1029,49.7
Tonga,1995,28.9,128.4627,64.7,31.2,123.3428,72.2
Trinidad and Tobago,1995,25.2,128.3062,66.7,26.8,124.1524,71.6
Tunisia,1995,23.6,128.354,69.6,26.3,130.2194,74.5
Turkey,1995,25.1,125.7943,66.1,27.4,127.8063,73.4
Taiwan,1995,23.6,126.1361,72,23,120.2878,77.9
Tanzania,1995,21.7,127.2076,49,22,126.7335,52.6
Uganda,1995,21.7,131.338,44.3,21.4,130.7043,48.8
Ukraine,1995,24.9,135.8763,61.2,26,132.6411,72.6
Uruguay,1995,25.4,131.4766,69.7,25,125.8373,78.3
United States,1995,27.2,125.5774,72.6,26.9,120.9321,79.1
Uzbekistan,1995,24.7,126.8893,61.6,24.6,124.27,67.7
Venezuela,1995,26.1,132.4869,69.5,26.5,127.0478,74.9
British Virgin Islands,1995,25.3,132.2894,73,27,128.1656,75.7
Vietnam,1995,19.7,123.7293,66.6,19.8,120.2081,76.3
Vanuatu,1995,25.2,132.6535,65.6,25.8,128.7681,70.8
Samoa,1995,28,129.9365,66.6,30.4,123.0251,72.5
South Africa,1995,23.9,132.1,58.4,27.7,130.8993,65.7
Zambia,1995,20.1,129.4658,44.1,22,128.2397,46.9
Zimbabwe,1995,21.6,129.9757,48,24.7,130.5943,53.2
Afghanistan,1996,20.9,124.3387,51.7,20.6,123.6593,54.8
Angola,1996,21.2,132.5802,44.1,21.4,129.8636,48
Albania,1996,25.3,131.7794,71.7,25,129.1957,77.7
Andorra,1996,26.5,133.8172,78.2,26,127.7735,83.1
United Arab Emirates,1996,26.6,129.0961,71.4,28.4,125.8086,75.3
Argentina,1996,26.5,126.5318,70.1,25.8,120.5421,76.4
Armenia,1996,24,133.9068,65.8,25.9,133.0544,73.6
Antigua and Barbuda,1996,24.7,131.1891,71,26.3,125.4348,76.5
Australia,1996,26.4,131.8362,75.5,25.6,123.3061,81.3
Austria,1996,25.7,133.7404,73.7,24.6,128.2032,80.1
Azerbaijan,1996,24.6,131.8364,58.6,26.4,129.3259,66.6
Burundi,1996,21.3,131.0562,42.4,20.4,130.5257,46.3
Belgium,1996,25.9,132.3982,73.8,25.1,127.649,80.5
Benin,1996,21.5,130.6542,54,22.5,128.9631,57.1
Burkina Faso,1996,20.5,128.3721,48.3,20.7,127.9736,50.8
Bangladesh,1996,20.1,124.6773,60.3,19.1,123.7672,58.6
Bulgaria,1996,25.8,134.4704,67.4,25.3,130.867,74.6
Bahrain,1996,26,131.069,73.2,27.1,134.6605,76
Bahamas,1996,25.8,131.9647,67.4,27.7,126.9596,74
Bosnia and Herzegovina,1996,25.1,131.025,70.4,25.3,132.7398,76.2
Belarus,1996,25.1,135.3966,63,25.9,130.6608,75
Belize,1996,25.7,126.0352,67.7,27.9,120.7958,72.2
Bermuda,1996,27,133.1627,75.1,29.3,129.0838,81.2
Bolivia,1996,23.7,126.9582,58.3,25.3,123.4716,61.9
Brazil,1996,24.3,131.224,65.4,24.9,127.9778,71.6
Barbados,1996,25.3,129.7059,70.8,27.9,126.7835,76.1
Brunei,1996,23.7,130.5505,71.2,22.9,125.6924,75.5
Bhutan,1996,22,125.2452,59,21.5,124.3192,61.7
Botswana,1996,20.8,132.6208,51.7,25,132.1396,57
Canada,1996,26.7,128.4153,75.4,25.7,122.4404,81.1
Switzerland,1996,25.7,132.0775,75.9,24,124.2824,82
Chile,1996,25.8,131.7524,71.6,26.2,127.4468,78.2
China,1996,22.3,124.4907,68.2,22.4,122.7874,72.5
Cote d'Ivoire,1996,21.8,132.3475,49.4,22.5,130.5055,53.9
Cameroon,1996,22.6,128.4545,51.2,23.1,125.2755,54.4
"Congo, Dem. Rep.",1996,20.3,130.4222,47.1,20.7,128.575,51.6
"Congo, Rep.",1996,21.3,134.0898,52.8,21.6,132.1411,54.1
Colombia,1996,23.8,126.515,66.1,25.4,123.9037,74.5
Comoros,1996,21.7,131.1729,57.1,21.9,129.4209,59.8
Cape Verde,1996,22,134.2437,63.1,23.1,132.0451,68
Costa Rica,1996,25.1,127.1409,74.7,25.5,122.5197,79.1
Cuba,1996,23.8,128.0443,72.7,25.1,125.4324,77.4
Cyprus,1996,26.4,132.3387,73.5,25.3,126.7186,77.6
Germany,1996,26.4,137.3829,73.4,25.4,130.9147,79.9
Djibouti,1996,22.4,131.1707,54.5,23.3,129.0866,57.9
Dominica,1996,23.7,131.8052,68.1,27.3,129.9852,74.5
Denmark,1996,25,132.1671,73.1,24.4,124.4529,78.3
Algeria,1996,23.5,129.1701,67.1,25.1,130.657,70.4
Ecuador,1996,24.7,128.6049,68.3,26.1,124.9068,74.5
Egypt,1996,25.7,124.7398,64.7,28.1,125.2656,68.8
Eritrea,1996,20.5,125.1749,54.4,20,122.4899,57.2
Spain,1996,26.2,130.5561,74.7,25.8,125.5815,82
Estonia,1996,24.9,137.5791,64.5,24.7,130.8985,75.8
Ethiopia,1996,19.7,125.5881,48,19.6,122.062,49.9
Finland,1996,25.9,135.9584,73,25.3,131.414,80.5
Fiji,1996,24.6,128.352,64.2,26.7,126.3041,68.9
France,1996,25.2,133.6171,74.1,24.5,125.765,82
"Micronesia, Fed. Sts.",1996,26.7,130.3867,65.8,29.1,123.4504,72.1
Gabon,1996,23.2,136.1338,59.5,23.9,134.3394,61.7
United Kingdom,1996,26.2,136.2077,74.2,25.9,130.7655,79.4
Georgia,1996,24.6,135.8557,64.3,25.4,131.8352,73.4
Ghana,1996,21.7,128.7603,55.7,22.6,128.7672,57.9
Guinea,1996,21.7,129.816,49.9,21.4,130.5557,51.2
Gambia,1996,20.6,131.4585,53.9,22.5,128.8734,58.2
Guinea-Bissau,1996,21.3,129.2813,47.1,22,129.1212,51.1
Equatorial Guinea,1996,21.5,133.075,50.2,21.6,130.8995,53.3
Greece,1996,25.4,129.1875,75.2,24.5,126.1854,80.9
Grenada,1996,24.2,128.8335,69.6,25.9,124.983,75
Greenland,1996,25.2,133.3349,64.3,26.3,129.2452,67.8
Guatemala,1996,24.3,124.0785,61.5,25.1,120.6364,68.5
Guyana,1996,23.1,126.0418,60.1,25,123.0323,66.7
"Hong Kong, China",1996,23.8,127.1755,76.7,23.1,122.8521,82.5
Honduras,1996,24.2,125.7191,65.3,25.2,122.2671,69.7
