country,year,male_bmi,male_bp,male_expectancy,female_bmi,female_bp,female_expectancy
Albania,1981,25.2,133.0296,68.2,25.2,132.1113,73.4
Andorra,1981,25.7,140.1076,74.2,25.7,135.973,80.6
United Arab Emirates,1981,25.1,137.3674,67.5,27.4,134.1822,72
Argentina,1981,25.4,131.1427,65.1,24,124.1808,73.1
Armenia,1981,23.9,136.4685,63,25.8,136.0732,69.8
Antigua and Barbuda,1981,23.4,132.4046,70.5,24.3,125.661,75.8
Australia,1981,25,134.0508,71.3,23.8,128.479,78.4
Austria,1981,24.9,137.8946,69.3,23.9,133.316,76.4
Azerbaijan,1981,24.5,134.759,57.3,26.3,132.0497,65
Burundi,1981,21.1,129.6887,44.9,19.3,127.2438,47.8
Belgium,1981,25.1,136.0056,70.3,25,130.8502,77
Benin,1981,20.8,133.3981,46,21,126.5469,50.7
Burkina Faso,1981,20.1,130.9857,45.6,19.4,124.2511,48.1
Bangladesh,1981,20.5,123.9494,53.2,18.5,120.5904,51.1
Bulgaria,1981,25.3,135.1541,68.8,25.6,135.3167,74.3
Bahrain,1981,24.1,135.0371,70.3,25.3,138.389,72.4
Bahamas,1981,24.3,136.3275,64.4,25.9,131.6205,71.3
Bosnia and Herzegovina,1981,25.3,132.1278,67.3,25.1,132.1207,74
Belarus,1981,24.9,137.9775,65.6,26.2,134.3325,74.4
Belize,1981,24.6,127.7849,66.7,25.9,121.7665,69.5
Bermuda,1981,25.2,139.4073,69.8,27.6,135.5567,77.7
Bolivia,1981,23,130.0872,50.3,23.6,124.9828,52.9
Brazil,1981,22.7,136.3863,60,24.1,133.3982,64.7
Barbados,1981,24.4,133.8047,69.7,26.7,128.9983,74.4
Brunei,1981,23.3,137.0821,68.5,23,131.8185,70.9
Bhutan,1981,21.8,122.8407,48,20.2,119.4527,50.2
Botswana,1981,19.6,131.9225,58.3,23.4,129.2404,63.9
Canada,1981,25.3,130.9155,72,24.2,124.7402,79.1
Switzerland,1981,25.2,137.6806,72.4,23.8,130.738,79.1
Chile,1981,24.6,133.216,67,24.1,129.947,72.9
China,1981,21.6,128.4638,62.7,21.9,125.3245,67.3
Cote d'Ivoire,1981,21.2,136.2126,50.7,21.4,130.358,55.1
Cameroon,1981,21.9,132.6027,50.2,21.6,125.9874,52.8
"Congo, Dem. Rep.",1981,20.7,133.6613,44.8,19.8,129.5953,46.6
"Congo, Rep.",1981,20.7,136.5279,54,20,132.8838,59.8
Colombia,1981,22.2,131.8413,64.5,23.6,127.4491,70
Comoros,1981,21,131.3205,49.8,20.9,126.7679,53.1
Cape Verde,1981,20.7,136.4493,61,20.9,128.8583,62.1
Costa Rica,1981,23.8,130.8409,72.3,23.5,125.0854,75.4
Cuba,1981,22.8,130.2831,71.1,23.9,126.5068,75.1
Cyprus,1981,25.4,133.9996,69.6,23.9,130.3639,74.4
Germany,1981,25.5,139.6293,69.9,24.8,134.9539,76.3
Djibouti,1981,21.3,134.0124,50.3,22,130.5218,54.3
Dominica,1981,22.4,133.9015,71.1,25.1,130.8348,75.2
Denmark,1981,24.6,135.9847,71.2,23.4,129.4966,77.4
Algeria,1981,22.4,132.171,53.8,23.8,130.9079,56.8
Ecuador,1981,23.9,131.7229,61.5,24.8,127.0498,65.9
Egypt,1981,24.4,125.5796,55.3,25.6,124.6403,58.9
Eritrea,1981,20,122.4052,42.7,18.7,117.8446,47.2
Spain,1981,25.4,135.903,72.5,25.2,132.8107,78.8
Estonia,1981,24.7,140.6947,63.7,25.9,137.4186,74.3
Ethiopia,1981,19.5,123.1734,41.4,18.8,117.0292,45.9
Finland,1981,25.5,142.4901,69.6,25,137.9415,78.1
Fiji,1981,22.4,128.7547,60.6,23.8,124.4693,65.2
France,1981,24.7,138.2685,70.4,24.2,131.593,78.5
"Micronesia, Fed. Sts.",1981,24.5,129.8509,61.2,26,121.5437,68.1
Gabon,1981,22.3,141.4633,56,22,138.4747,59.6
United Kingdom,1981,24.8,136.3343,70.9,24.3,130.9925,76.9
Georgia,1981,24.7,138.5129,63.4,25.8,135.0548,71.4
Ghana,1981,21,130.3286,49.4,20.9,125.8309,53.3
Guinea,1981,21.2,132.6401,41.9,20.5,128.843,44.7
Gambia,1981,20,133.9993,42,20.1,126.5689,47.1
Guinea-Bissau,1981,20.7,131.8256,42.1,20.5,126.028,46.1
Equatorial Guinea,1981,21.1,135.0082,46.5,20.2,130.4787,49.7
Greece,1981,24.9,133.0583,72.4,24.1,131.3393,77.6
Grenada,1981,23.3,130.185,65.8,24.1,125.0694,70.8
Greenland,1981,24.5,140.5917,61.2,25.9,136.8022,66.5
Guatemala,1981,23.3,127.529,52,23.1,122.9101,60.7
Guyana,1981,22.7,126.9074,58.8,23.8,122.4407,64
"Hong Kong, China",1981,21.8,133.9259,72.4,21.8,130.5881,78.5
Honduras,1981,23.2,128.2966,59.4,23.2,123.1698,62.7
Croatia,1981,25.3,138.0257,65.9,25.2,136.073,74
Haiti,1981,22.9,128.2115,49,20.9,123.6394,51.5
Hungary,1981,25.4,138.386,65.5,25.2,135.0618,72.9
Indonesia,1981,19.9,127.0411,57.5,20.2,122.7222,60.8
India,1981,21.1,122.3415,54,20.5,121.2101,54.4
Ireland,1981,25.8,138.9863,70.2,24.7,130.1528,75.9
Iran,1981,23.2,130.9517,53,23.5,127.756,61.3
Iraq,1981,25.1,130.5131,52.5,26.4,130.3323,67.6
Iceland,1981,24.9,137.0769,73,24.3,130.6165,79.1
Israel,1981,24.8,132.2108,72.6,24.4,130.073,75.8
Italy,1981,25.4,136.32,71.1,25.2,134.8513,77.8
Jamaica,1981,22.4,130.9176,68.6,24.8,126.8491,71
Jordan,1981,24.8,127.211,65.6,27.7,126.0498,67.9
Japan,1981,22.1,136.1599,73.8,21.3,130.7396,79.2
Kazakhstan,1981,24.6,136.9304,57.9,25.4,134.1471,68.3
Kenya,1981,20.4,128.0574,59,20.9,123.7851,63.4
Cambodia,1981,19.7,119.3887,43.6,19.6,112.8353,52.4
Kiribati,1981,25.6,126.9015,55.9,26,120.0381,59
Kuwait,1981,25.6,134.8981,69.5,28.1,135.3558,73.1
Lebanon,1981,24,131.71190000000001,55.9,24.4,131.6462,64.4
Liberia,1981,21.1,133.8063,43.6,21.5,129.3041,46.5
Libya,1981,24.5,140.9658,63.1,26.9,138.0003,68.2
Sri Lanka,1981,20.4,126.3969,66.5,21,121.8078,72.5
Lesotho,1981,20.6,128.6818,52.5,25.2,125.1881,61.8
Lithuania,1981,26,140.0018,65.4,27,137.6017,75.8
Luxembourg,1981,25,139.0046,68.9,24.3,133.202,76
Latvia,1981,25.1,138.7139,63.3,25.5,136.3502,74.3
"Macao, China",1981,22.8,133.9039,71.8,23.8,132.784,75.9
Morocco,1981,23.3,127.6906,54.8,23.7,126.5815,57.3
Moldova,1981,24.7,135.9249,61.8,26.9,132.36,69.1
Madagascar,1981,20.7,130.4674,48.6,20.3,126.811,51
Maldives,1981,20.5,124.3978,56.1,21.9,119.9264,56.9
Mexico,1981,24.6,129.5213,61.8,24.7,128.1022,69.2
Marshall Islands,1981,24.8,127.1812,57.6,25.6,122.2643,65.6
Mali,1981,20.3,127.8711,40.5,19.2,122.9056,42
Malta,1981,25.8,136.1765,70.9,25.9,134.6395,74.2
Myanmar,1981,19.7,120.197,52.5,19.8,116.5234,56.9
Montenegro,1981,25.5,137.175,68.1,26,134.5894,74.5
Mongolia,1981,23.5,135.1196,53.4,24.4,129.292,58.1
Mozambique,1981,20.4,133.2352,39.1,20.6,128.0141,42
Mauritania,1981,20.9,133.8481,54,22.6,126.2703,57.4
Mauritius,1981,22.1,133.6608,63.2,23.3,130.6392,70.1
Malawi,1981,20.8,130.165,43.5,20.7,125.1524,48
Malaysia,1981,21.7,127.172,66.9,22.3,124.703,71
Namibia,1981,21.1,137.0569,52.1,23.1,132.4548,62.5
Niger,1981,20.6,140.4526,39.8,20,128.3101,40.4
Nigeria,1981,21,134.0183,45.5,22,131.01,47.5
Nicaragua,1981,24.1,131.1715,55.2,24.5,126.2876,61.3
Netherlands,1981,24.1,138.1146,72.7,24,131.3816,79.3
Norway,1981,24.7,141.4699,72.6,23.8,136.4127,79.3
Nepal,1981,20.9,123.8392,48.3,18.7,119.777,48.4
Nauru,1981,28.4,135.3158,60.2,28.6,133.1018,65.6
New Zealand,1981,25.3,133.85,70.5,24.3,127.7551,76.9
Oman,1981,23.1,131.539,59.5,25,130.4039,63.9
Pakistan,1981,21.5,124.9698,57.1,21.8,123.4259,59.3
Panama,1981,23.6,131.673,67.3,24.1,126.6971,72.1
Peru,1981,23.1,129.4485,57.7,25.1,126.2191,62.2
Philippines,1981,21.3,126.4238,60.8,21.3,122.3296,64.4
Palau,1981,25.6,133.7178,55.4,26.4,128.9335,68.8
Papua New Guinea,1981,21.9,118.6406,56,21,110.6734,60.4
Poland,1981,25.2,136.85,66.8,25.9,137.0508,75
Puerto Rico,1981,24.9,131.8223,69.5,26.1,127.5911,77.4
Portugal,1981,25,137.7352,68.3,24.8,134.9053,75.4
Paraguay,1981,23.5,132.8094,63.5,23.6,128.0548,66.6
French Polynesia,1981,25.6,133.6696,66.7,26.5,128.4431,69.5
Qatar,1981,25.1,138.6248,70.4,27.2,138.842,72.8
Romania,1981,24.7,134.9776,66.2,25.4,133.7081,71.9
Russia,1981,25,134.7259,60.6,26.7,133.7902,72
Rwanda,1981,21.7,131.909,48.1,20.6,129.4196,50.7
Saudi Arabia,1981,25.2,136.2238,62.1,26.5,134.9311,65.1
Sudan,1981,20.8,129.692,52.5,20.9,124.6275,55.8
Senegal,1981,20.3,132.8664,48.5,21.4,127.7556,51.3
Singapore,1981,22.6,131.2713,69.2,23.5,129.4135,75
Solomon Islands,1981,24.1,123.9152,60.7,24,118.4875,66.5
Sierra Leone,1981,21.4,134.3209,42,21.4,130.3421,44.8
El Salvador,1981,23.8,127.4457,39.6,23.8,122.7232,60.3
Somalia,1981,21,130.6281,46.3,20.9,126.9425,49.1
Serbia,1981,25.6,139.1738,65.8,26.2,136.4869,71.8
Sao Tome and Principe,1981,21.3,137.9923,57.9,21.5,131.5888,61.1
Suriname,1981,23.4,130.8687,59.6,24.8,127.0373,65.2
Slovak Republic,1981,25.6,137.2713,66.8,26.2,135.677,74.7
Slovenia,1981,25.7,138.4091,66.7,26.4,136.3469,74.8
Sweden,1981,24.8,138.1323,73.1,24.4,132.4416,79.1
